Num. Nodes,Num. Parallel Edges,Num. Src/Sinks,Min. Target Flow,Optimal MILP Value,Relaxed LP Value,ACO 1,ACO 2,ACO 3,ACO 4,ACO 5,ACO 6,ACO 7,ACO 8,ACO 9,ACO 10,Avg. ACO Value,Optimality Gap
29,1,5,500,330706.868,331124.0681,376697.9669,383988.664,385925.6315,376068.5564,374845.2955,367826.8327,377951.3189,358453.5918,353275.3225,381053.822,373608.7002,12.97
176,1,1,100,71062.12201,71062.10686,71062.12201,71062.12201,71062.12201,71062.12201,71062.12201,71062.12201,71062.12201,71062.12201,71062.12201,71062.12201,71062.12201,0.00
116,1,5,500,333593.8083,337284.2193,388646.9207,383841.4525,387776.6271,392437.0291,387830.3625,377908.3644,398534.0834,384087.2025,393923.8197,377027.7067,387201.3568,16.07
148,1,10,1000,760530.0112,768686.9087,934167.6168,963604.2593,978407.4959,964708.7112,900634.7607,961415.9482,960683.0733,980098.67,960272.5603,958247.4303,956224.0526,25.73
169,1,10,1000,709863.2353,711728.7258,893923.1016,911247.3894,913235.9453,895790.9839,923417.85,886374.5297,894669.6764,867027.7596,932013.2935,925178.7935,904287.9323,27.39
231,1,5,500,400813.2036,402099.2125,777255.3445,742168.751,788555.3611,829782.9259,801145.9723,769017.0184,743119.9488,757897.3363,779594.8422,778135.256,776667.2756,93.77
253,1,1,100,104488.2405,104488.2403,115080.9565,113599.0319,113599.0319,113599.0319,113599.0319,113599.0319,104488.2405,104488.2405,104488.2405,113599.0319,111013.9869,6.25
91,1,5,500,442394.8528,442810.7518,658406.7788,673405.8966,671639.2598,631776.3732,644610.0083,612331.2339,667312.2813,664659.8637,657480.348,583255.9927,646487.8036,46.13
111,1,10,1000,706686.7305,711952.0343,1032285.915,976396.7637,937141.8295,1023591.35,1007754.814,975340.6419,1022160.885,986843.536,1001816.626,1022073.316,998540.5678,41.30
84,1,1,100,85560.21975,85560.21978,85560.21975,85560.21975,85560.21975,85560.21975,85560.21975,85560.21975,85560.21975,85560.21975,85560.21975,85560.21975,85560.21975,0.00
134,1,10,1000,687668.9676,690127.9597,960991.8065,1032470.373,952878.1067,919023.558,971339.9932,993235.9535,979244.9817,995614.7819,986466.3344,997460.2818,978872.617,42.35
252,1,5,500,416812.9567,417246.1379,586931.6852,579960.5682,608794.8679,583687.5587,608363.659,603279.2192,620566.1023,572688.837,620027.8351,546665.2009,593096.5534,42.29
361,1,10,1000,829706.7612,830510.5953,1449046.903,1435347.522,1403989.028,1535101.78,1440921.741,1462944.959,1513939.158,1403565.86,1419446.585,1444574.935,1450887.847,74.87
